date    close
20180101      8236.50
20180102      8232.79
20180103      8228.75
20180104      8225.04
20180105      8222.09
20180106      8218.76
20180107      8217.61
20180108      8212.87
20180109      8209.60
20180110      8205.58
20180111      8202.30
20180112      8198.64
20180113      8195.00
20180114      8191.72
20180115      8187.73
20180116      8184.10
20180117      8180.80
20180118      8177.54
20180119      8174.98
20180120      8171.01
20180121      8167.08
20180122      8163.44
20180123      8159.83
20180124      8156.24
20180125      8152.29
20180126      8148.70
20180127      8147.20
20180128      8148.14
20180129      8148.41
20180130      8150.50
20180131      8151.95
20180201      8153.38
20180202      8154.48
20180203      8156.27
20180204      8158.06
20180205      8159.14
20180206      8160.59
20180207      8162.72
20180208      8164.86
20180209      8166.69
20180210      8168.15
20180211      8169.96
20180212      8172.82
20180213      8175.68
20180214      8177.86
20180215      8180.06
20180216      8182.60
20180217      8186.55
20180218      8188.74
20180219      8191.30
20180220      8194.93
20180221      8197.83
20180222      8200.75
20180223      8203.69
20180224      8206.65
20180225      8209.20
20180226      8212.13
20180227      8215.41
20180228      8217.99
20180301      8221.28
20180302      6854.09
20180303      6854.16
20180304      6854.27
20180305      6854.34
20180306      6854.41
20180307      6854.49
20180308      6854.56
20180309      6854.56
20180310      6854.54
20180311      6854.51
20180312      6854.50
20180313      6854.48
20180314      6854.47
20180315      6854.50
20180316      6854.55
20180317      6854.55
20180318      6854.57
20180319      6854.58
20180320      6854.57
20180321      6854.55
20180322      6854.54
20180323      6854.55
20180324      6854.60
20180325      6854.66
20180326      6854.71
20180327      6854.79
20180328      6854.85
20180329      6854.85
20180330      6854.84
20180331      6854.84
20180401      6854.86
20180402      6854.85
20180403      6854.66
20180404      6854.47
20180405      6854.30
20180406      6854.12
20180407      6854.00
20180408      6854.90
20180409      6857.34
20180410      6858.46
20180411      6859.26
20180412      6859.98
20180413      6860.45
20180414      6860.50
20180415      6860.46
20180416      6860.52
20180417      6860.68
20180418      6860.73
20180419      6860.76
20180420      6860.84
20180421      6860.73
20180422      6860.57
20180423      6860.49
20180424      6860.48
20180425      6860.52
20180426      6860.54
20180427      6860.52
20180428      6860.48
20180429      6860.40
20180430      6860.30
20180501      6860.11
20180502      6859.86
20180503      6859.61
20180504      6859.34
20180505      6859.03
20180506      6858.67
20180507      6858.28
20180508      6857.90
20180509      6857.54
20180510      6857.18
20180511      6856.82
20180512      6856.44
20180513      6856.05
20180514      6855.60
20180515      6855.02
20180516      6854.38
20180517      6853.73
20180518      6853.08
20180519      6852.37
20180520      6851.63
20180521      6850.90
20180522      6850.15
20180523      6849.41
20180524      6848.77
20180525      6848.10
20180526      6847.49
20180527      6846.89
20180528      6846.25
20180529      6845.58
20180530      6844.74
20180531      6843.88
20180601      6843.00
20180602      6842.10
20180603      6841.20
20180604      6840.33
20180605      6839.54
20180606      6838.71
20180607      6837.86
20180608      6836.97
20180609      6835.97
20180610      6834.95
20180611      6833.90
20180612      6832.88
20180613      6831.79
20180614      6830.72
20180615      6829.65
20180616      6828.72
20180617      6827.53
20180618      6826.52
20180619      6825.66
20180620      6824.75
20180621      6823.61
20180622      6822.42
20180623      6821.19
20180624      6819.95
20180625      6818.68
20180626      6817.35
20180627      6815.90
20180628      6814.03
20180629      6812.20
20180630      6810.96
20180701      6809.77
20180702      6808.57
20180703      6807.36
20180704      6806.12
20180705      6804.85
20180706      6803.56
20180707      6802.74
20180708      6801.92
20180709      6801.06
20180710      6800.21
20180711      6799.44
20180712      6799.10
20180713      6798.93
20180714      6799.52
20180715      6800.23
20180716      6800.87
20180717      6801.42
20180718      6801.98
20180719      6801.85
20180720      6801.56
20180721      6800.94
20180722      6800.28
20180723      6799.75
20180724      6799.93
20180725      6800.20
20180726      6800.32
20180727      6800.27
